Ruta	Descripción	Fecha Gaceta	Fecha Vigencia
605 A	SAN ISIDRO-VOLCAN	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
605 A	SAN ISIDRO-PACUARE	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
608 SD	SAN JOSE-SAN VITO-AGUA BUENA x PASO REAL	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
608	SAN JOSE-SABALITO	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
608	SAN JOSE-AGUA BUENA	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
608	SAN JOSE-SAN VITO	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
608	SAN ISIDRO DE EL GRAL-SABALITO	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
608	SAN ISIDRO DE EL GRAL-AGUA BUENA	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
608	SAN ISIDRO DE EL GRAL-SAN VITO	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
608	SAN JOSE-SAN VITO-AGUA BUENA x C. NEILY	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
612 SD	SAN JOSE-GOLFITO	TRANSPORTES COSTARRICENSES PANAMEÑOS LTDA	(RA-015)
602-602 SD	SAN JOSE-MIRAMAR (SERVICIO REGULAR)	AUTOTRANSPORTES MIRAMAR LTDA	(RA-076)
602-602 SD	SAN JOSE-MIRAMAR (SERVICIO DIRECTO)	AUTOTRANSPORTES MIRAMAR LTDA	(RA-076)
656	MIRAMAR-OJO DE AGUA	AUTOTRANSPORTES MIRAMAR LTDA	(RA-076)
656	MIRAMAR-CORAZON DE JESUS	AUTOTRANSPORTES MIRAMAR LTDA	(RA-076)
656	MIRAMAR-CEDRAL	AUTOTRANSPORTES MIRAMAR LTDA	(RA-076)
656	MIRAMAR-PALMITAL	AUTOTRANSPORTES MIRAMAR LTDA	(RA-076)
656	MIRAMAR-LAGUNA	AUTOTRANSPORTES MIRAMAR LTDA	(RA-076)
656	MIRAMAR-TAJO ALTO	AUTOTRANSPORTES MIRAMAR LTDA	(RA-076)
656	MIRAMAR-BAJO CALIENTE	AUTOTRANSPORTES MIRAMAR LTDA	(RA-076)
606	OROTINA-JACO	TRANSPORTES GONZÁLEZ Y VILLEGAS LTDA	(RA-046)
606	OROTINA-TARCOLES	TRANSPORTES GONZÁLEZ Y VILLEGAS LTDA	(RA-046)
606	OROTINA-LAGUNILLA	TRANSPORTES GONZÁLEZ Y VILLEGAS LTDA	(RA-046)
606	OROTINA-LIMONAL	TRANSPORTES GONZÁLEZ Y VILLEGAS LTDA	(RA-046)
606	OROTINA-COYOLAR	TRANSPORTES GONZÁLEZ Y VILLEGAS LTDA	(RA-046)
606	HERRADURA-OROTINA	TRANSPORTES GONZÁLEZ Y VILLEGAS LTDA	(RA-046)
606	HERRADURA-MASTATE	TRANSPORTES GONZÁLEZ Y VILLEGAS LTDA	(RA-046)
606	HERRADURA-SANTA RITA	TRANSPORTES GONZÁLEZ Y VILLEGAS LTDA	(RA-046)
606	HERRADURA-JACO	TRANSPORTES GONZÁLEZ Y VILLEGAS LTDA	(RA-046)
613	SAN JOSE-QUEPOS x PURISCAL	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-PURISCAL	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-LA LEGUA	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-SANTA MARTA	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-JILGUERAL	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-LA PALMA	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-SALITRALES	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-SAN RAMON	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-SANTA ROSA	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-GUARUMAL	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-NARANJAL	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-LA GLORIA	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-LOS ANGELES	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-VISTA DE MAR	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-CHIRIS	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-GUACIMAL	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	QUEPOS-PARRITA	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	TARIFA MINIMA PURISCAL-QUEPOS	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613	SAN JOSE-QUEPOS x CARRETERA COSTANERA	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
613 SD	SAN JOSE-PLAYAS DE MANUEL ANTONIO	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
614	PUNTARENAS-Bº EL CARMEN	TRANSPORTES OCCIDENTALES DEL PACÍFICO M Y R S.A.	(RA-169)
616	PUNTARENAS-Bº 20 DE NOVIEMBRE	TRANSPORTES OCCIDENTALES DEL PACÍFICO M Y R S.A.	(RA-169)
616	PUNTARENAS-EL COCAL	TRANSPORTES OCCIDENTALES DEL PACÍFICO M Y R S.A.	(RA-169)
617	PUNTARENAS-FRAY CASIANO	TRANSPORTES OCCIDENTALES DEL PACÍFICO M Y R S.A.	(RA-169)
617	PUNTARENAS-CHACARITA	TRANSPORTES OCCIDENTALES DEL PACÍFICO M Y R S.A.	(RA-169)
617	PUNTARENAS-EL COCAL	TRANSPORTES OCCIDENTALES DEL PACÍFICO M Y R S.A.	(RA-169)
618	PUNTARENAS-EL ROBLE	COOPERATIVA DE TRANSPORTE REMUNERADO DE PERSONAS DEL ROBLE, R. L. (COOPEROBLE R. L.)	(RA-145)
618	PUNTARENAS-CARRIZAL	COOPERATIVA DE TRANSPORTE REMUNERADO DE PERSONAS DEL ROBLE, R. L. (COOPEROBLE R. L.)	(RA-145)
618	PUNTARENAS-EL COCAL	COOPERATIVA DE TRANSPORTE REMUNERADO DE PERSONAS DEL ROBLE, R. L. (COOPEROBLE R. L.)	(RA-145)
618	  EXT PUNTARENAS-CALLE LA CHINA	COOPERATIVA DE TRANSPORTE REMUNERADO DE PERSONAS DEL ROBLE, R. L. (COOPEROBLE R. L.)	(RA-145)
619 BS	PUNTARENAS-INVU-BARRANCA	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620	PUNTARENAS-PLAYON	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620	PUNTARENAS-RIOJALANDIA	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620	PUNTARENAS-BARRANCA	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620	PUNTARENAS-JUANITO MORA	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620	PUNTARENAS-EL ROBLE	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620	PUNTARENAS-CARRIZAL	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620	PUNTARENAS-CHACARITA	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620	PUNTARENAS-EL COCAL	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620 BS	PUNTARENAS-BARRANCA-PLAYON	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620 EXT BS	PUNTARENAS-CARMEN LYRA	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
620 EXT BS	PUNTARENAS-BARRANCA	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
652 MB	PUNTARENAS-SAN MIGUEL	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
652 MB	PUNTARENAS-BARRANCA	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
652 EXT	PUNTARENAS-SAN MIGUEL	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
652 EXT	PUNTARENAS-BARRANCA	AUTOTRANSPORTES CUATRO POR TRES S.A.	(RA-051)
621	ESPARZA-SAN JUAN CHIQUITO-SAN JUAN GRANDE	LUIS EMILIO ALPIZAR ROJAS	(RA-461)
623	PUNTARENAS-PITAHAYA	ABRAHAM GUTIÉRREZ SALAZAR	No Tiene RA
623	PUNTARENAS-ARANJUEZ	ABRAHAM GUTIÉRREZ SALAZAR	No Tiene RA
623	PUNTARENAS-CIRUELAS	ABRAHAM GUTIÉRREZ SALAZAR	No Tiene RA
623	PUNTARENAS-CUATRO CRUCES	ABRAHAM GUTIÉRREZ SALAZAR	No Tiene RA
623	PUNTARENAS-BARRANCA	ABRAHAM GUTIÉRREZ SALAZAR	No Tiene RA
623	PUNTARENAS-EL ROBLE	ABRAHAM GUTIÉRREZ SALAZAR	No Tiene RA
623	PUNTARENAS-CARRIZAL	ABRAHAM GUTIÉRREZ SALAZAR	No Tiene RA
624	PUNTARENAS-ABANGARITOS	TRANS BEGY S.A.	(RA-460)
624	PUNTARENAS-MANZANILLO	TRANS BEGY S.A.	(RA-460)
624	PUNTARENAS-COSTA DE PAJAROS	TRANS BEGY S.A.	(RA-460)
624	PUNTARENAS-MORALES	TRANS BEGY S.A.	(RA-460)
624	PUNTARENAS-PUNTA MORALES	TRANS BEGY S.A.	(RA-460)
624	PUNTARENAS-LAGARTO SUR	TRANS BEGY S.A.	(RA-460)
624	PUNTARENAS-SAN GERARDO (CLINICA)	TRANS BEGY S.A.	(RA-460)
624	ABANGARITOS-MANZANILLO-COSTA DE PAJAROS-CLINICA CCSS	TRANS BEGY S.A.	(RA-460)
626	PUNTARENAS-MIRAMAR	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	PUNTARENAS-CUATRO CRUCES	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	PUNTARENAS-BARRANCA	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	PUNTARENAS-EL ROBLE	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	PUNTARENAS-HOSPITAL	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	PUNTARENAS-CARRIZAL	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	PUNTARENAS-CHACARITA	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	MIRAMAR-CARRIZAL	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	MIRAMAR-EL ROBLE	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	MIRAMAR-HOSPITAL	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	MIRAMAR-BARRANCA	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	MIRAMAR-RECOPE	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	MIRAMAR-CUATRO CRUCES	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	MIRAMAR-SAN ISIDRO	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626	MIRAMAR-LAS DELICIAS	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
626 BS SD	PUNTARENAS-MIRAMAR	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
627	MIRAMAR-INGENIO EL PALMAR	TRANSPORTES MONTES DE ORO S.A.	(RA-062)
628	PUNTARENAS-ESPARZA	JOALPA S.A.	(RA-193)
628	PUNTARENAS-BARRANCA	JOALPA S.A.	(RA-193)
628	PUNTARENAS-EL ROBLE	JOALPA S.A.	(RA-193)
628	PUNTARENAS-HOSPITAL	JOALPA S.A.	(RA-193)
628	PUNTARENAS-CARRIZAL	JOALPA S.A.	(RA-193)
628	PUNTARENAS-CHACARITA	JOALPA S.A.	(RA-193)
628	BARRANCA-ESPARZA	JOALPA S.A.	(RA-193)
628	ESPARZA-HOSPITAL	JOALPA S.A.	(RA-193)
628	ESPARZA-EL ROBLE	JOALPA S.A.	(RA-193)
676 BS	NANCES-MARAÑONAL-ESPARZA-PUNTARENAS	JOALPA S.A.	(RA-193)
629	QUEPOS-LA PALMA	TRANSPORTES DEL PACÍFICO S.A.	(RA-177)
629	QUEPOS-LOS ANGELES	TRANSPORTES DEL PACÍFICO S.A.	(RA-177)
629	QUEPOS-PARRITA	TRANSPORTES DEL PACÍFICO S.A.	(RA-177)
629	QUEPOS-PALO SECO-VUELTAS	TRANSPORTES DEL PACÍFICO S.A.	(RA-177)
629	QUEPOS-POCARES	TRANSPORTES DEL PACÍFICO S.A.	(RA-177)
629	QUEPOS-PIRRIS-DAMAS	TRANSPORTES DEL PACÍFICO S.A.	(RA-177)
629	QUEPOS-BAMBU	TRANSPORTES DEL PACÍFICO S.A.	(RA-177)
629	QUEPOS-PAQUITA	TRANSPORTES DEL PACÍFICO S.A.	(RA-177)
629	  EXT QUEPOS-CERROS	TRANSPORTES DEL PACÍFICO S.A.	(RA-177)
631	RIO NEGRO-EL RELLENO	TRANSPORTES COBANO S.A.	(RA-437)
631	RIO NEGRO-COBANO	TRANSPORTES COBANO S.A.	(RA-437)
631	COBANO-EL RELLENO	TRANSPORTES COBANO S.A.	(RA-437)
631	COBANO-PAQUERA	TRANSPORTES COBANO S.A.	(RA-437)
631	COBANO-VALLE AZUL	TRANSPORTES COBANO S.A.	(RA-437)
631	COBANO-POCHOTE	TRANSPORTES COBANO S.A.	(RA-437)
631	PAQUERA-RIO GRANDE	TRANSPORTES COBANO S.A.	(RA-437)
631	VALLE AZUL-EL RELLENO	TRANSPORTES COBANO S.A.	(RA-437)
631	COBANO-TAMBOR	TRANSPORTES COBANO S.A.	(RA-437)
631	VALLE AZUL-PAQUERA	TRANSPORTES COBANO S.A.	(RA-437)
631	  EXT PAQUERA-EL RELLENO	TRANSPORTES COBANO S.A.	(RA-437)
631	  EXT PAQUERA-SAN RAFAEL	TRANSPORTES COBANO S.A.	(RA-437)
631 A	SAN JOSE-PAQUERA-COBANO-TAMBOR-MAL PAIS-MONTEZUMA	TRANSPORTES COBANO S.A.	(RA-437)
632	PIÑUELAS-CIUDAD NEILY	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-RIO CLARO	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-Kms. 33-31-30-29-28	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-Kms. 37-35	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-Kms. 40-41	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-LA GUARIA	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-PIEDRAS BLANCAS	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-CHACARITA	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-FINCA ALAJUELA	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-SALAMA	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-VENECIA	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-VILLA BONITA	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-VILLA COLON	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-TINOCO	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-OLLA CERO	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-PALMAR	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-CIUDAD CORTES	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-OJO DE AGUA	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-TAHUAL	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-SAN BUENAVENTURA	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-CORONADO	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-PUNTA MALA	TRANSPORTES BLANCO S.A.	(RA-143)
632	PIÑUELAS-OJOCHAL	TRANSPORTES BLANCO S.A.	(RA-143)
633	CIUDAD CORTES-PALMAR NORTE Y SUR	SERVICENTRO TÉRRABA S.A.	(RA-110)
634 P	CIUDAD CORTES-CIUDAD NEILY	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-RIO CLARO	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-Kmto. 31	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-Kmto. 33	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-Kmto. 37	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-Kmto. 40	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-LA GUARIA	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-Kmto. 45	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-PIEDRAS BLANCAS	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-FINCA ALAJUELA	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-SALAMA	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-VENECIA	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-FINCA PUNTARENAS	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-CIUDAD COLON	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-TINOCO	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-OLLA CERO	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD CORTES-PALMAR NORTE	TRANSPORTES BLANCO S.A.	(RA-143)
634 P	CIUDAD NEILY-RIO CLARO	TRANSPORTES BLANCO S.A.	(RA-143)
643	QUEPOS-SAVEGRE	SERVICENTRO TÉRRABA S.A.	(RA-110)
643	QUEPOS-MARITIMA	SERVICENTRO TÉRRABA S.A.	(RA-110)
643	QUEPOS-LLORONA	SERVICENTRO TÉRRABA S.A.	(RA-110)
643	QUEPOS-BARTOLO	SERVICENTRO TÉRRABA S.A.	(RA-110)
643	QUEPOS-LLAMARON	SERVICENTRO TÉRRABA S.A.	(RA-110)
643	QUEPOS-LA MANAGUA	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-PUERTO JIMENEZ	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-RIO TIGRE	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-CAÑAZA	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-PALMA	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-RINCON DE OSA	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-SAN JUAN DE SIERPE	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-BAHIA CHAL	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-MOGOS	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-CHACARITA	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	CIUDAD NEILY-RIO CLARO	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	PUERTO JIMENEZ-RIO TIGRE	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	PUERTO JIMENEZ-CAÑAZA	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	PUERTO JIMENEZ-PALMA	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	PUERTO JIMENEZ-RINCON DE OSA	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	PUERTO JIMENEZ-SAN JUAN DE SIERPE	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	PUERTO JIMENEZ-BAHIA CHAL	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	PUERTO JIMENEZ-MOGOS	SERVICENTRO TÉRRABA S.A.	(RA-110)
672-643	PUERTO JIMENEZ-CHACARITA	SERVICENTRO TÉRRABA S.A.	(RA-110)
647	GOLFITO-CIUDAD NEILY	SERVICENTRO TÉRRABA S.A.	(RA-110)
647	GOLFITO-RIO CLARO	SERVICENTRO TÉRRABA S.A.	(RA-110)
647	RIO CLARO-CIUDAD NEILY	SERVICENTRO TÉRRABA S.A.	(RA-110)
647 A	GOLFITO-CIUDAD NEILY	SERVICENTRO TÉRRABA S.A.	(RA-110)
647 A	GOLFITO-FINCAS	SERVICENTRO TÉRRABA S.A.	(RA-110)
647 A	GOLFITO-RIO CLARO	SERVICENTRO TÉRRABA S.A.	(RA-110)
647 A	RIO CLARO-CIUDAD NEILY	SERVICENTRO TÉRRABA S.A.	(RA-110)
636	SAN VITO-LAS MELLIZAS	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-LA LUCHA	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-SAN MIGUEL	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-LA UNION	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-SAN ANTONIO	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-SAN BOSCO	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-SAN RAFAEL	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-SABALITO	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-DON ADAN	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-LOURDES	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-LA ISLA	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
637	SAN VITO-CIUDAD NEILY	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
637	SAN VITO-CAÑO SECO	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
637	SAN VITO-FILA DE CAL	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
637	SAN VITO-CAMPO DOS Y MEDIO	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
637	SAN VITO-CAMPO TRES	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
637	SAN VITO-AGUA BUENA	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
637	SAN VITO-SAN FRANCISCO	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
637	SAN VITO-COPAL	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
637	SAN VITO-LINDA VISTA	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
636	SAN VITO-CIUDAD NEILY	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-CIUDAD NEILY	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-FILA DE CAL	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-CAMPO 2½	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-CAMPO 3	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-CAÑAS GORDAS	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-VALLE AZUL	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-LA 18	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-SAN ANTONIO	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-SAN BOSCO	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
649	SABALITO-SAN RAFAEL	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
658	SAN VITO-LOS PLANES	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
658	SAN VITO-VILLA ROMA	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
658	SAN VITO-LOS PILARES	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
658	SAN VITO-CAÑAS GORDAS	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
658	VILLA ROMA-LOS PLANES	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
658	CAÑAS GORDAS-AGUA BUENA	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
658	LOS PILARES-VILLA ROMA	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
658	CAÑAS GORDAS-LOS PILARES	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
659	SAN VITO-LA MARAVILLA	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
659	SAN VITO-LOS MARINES	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
659	SAN VITO-FINCA JULIO FLORES	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
659	SAN VITO-LOS REYES	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
659	SAN VITO-LOS PINOS	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
659	SAN VITO-DANTO	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
659	SAN VITO-CRUCE	AUTOTRANSPORTES CEPUL S.A.	(RA-261)
664	SAN VITO-SAN ANTONIO	OLMAN ZUÑIGA CECILIANO	No Tiene RA
664	SAN VITO-SABALITO	OLMAN ZUÑIGA CECILIANO	No Tiene RA
664	SAN VITO-LOURDES	OLMAN ZUÑIGA CECILIANO	No Tiene RA
664	SAN VITO-SAN JOAQUIN	OLMAN ZUÑIGA CECILIANO	No Tiene RA
638	CIUDAD NEILY-PASO CANOAS	TRANSGOLFO S.A.	(RA-358)
638	CIUDAD NEILY-EL CARMEN-ABROJO	TRANSGOLFO S.A.	(RA-358)
638 EXT	URBANO-CIUDAD NEILY-HOSPITAL	TRANSGOLFO S.A.	(RA-358)
648	CIUDAD NEILY-LAUREL	TRANSGOLFO S.A.	(RA-358)
648	CIUDAD NEILY-LA CUESTA	TRANSGOLFO S.A.	(RA-358)
648	CIUDAD NEILY-PASO CANOAS	TRANSGOLFO S.A.	(RA-358)
648	  EXT PASO CANOAS-LAUREL	TRANSGOLFO S.A.	(RA-358)
639	SAN JOSE-UVITA-BAHIA	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
639	SAN JOSE-DOMINICAL	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
639	SAN JOSE-HATILLO	TRANSPORTES COSTARRICENSES PANAMEÑOS, LIMITADA (TRACOPA)	(RA-015)
